"","censusdate","month","day","year","treatment","plot","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3"
"1",1978-01-08,1,8,1978,"exclosure",3,11,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"2",1978-01-08,1,8,1978,"exclosure",3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"3",1978-01-08,1,8,1978,"exclosure",3,54,"PF","M",NA,NA,"S",NA,NA,NA,NA,15,7,"0",NA,"0",NA
"4",1978-01-08,1,9,1978,"control",14,14,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"5",1978-01-08,1,9,1978,"control",17,14,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,40,"4872",NA,"0",NA
"6",1978-01-08,1,9,1978,"control",17,16,"DM","F",NA,NA,NA,"S",NA,NA,NA,34,37,"4881",NA,"0",NA
"7",1978-01-08,1,9,1978,"control",17,26,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,117,"4880",NA,"0",NA
"8",1978-01-08,1,9,1978,"control",11,31,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,40,"4883",NA,"0",NA
"9",1978-01-08,1,9,1978,"control",4,34,"DS","M","Z",NA,NA,NA,NA,NA,NA,49,132,"4864",NA,"0",NA
"10",1978-01-08,1,9,1978,"control",14,35,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"11",1978-01-08,1,9,1978,"control",11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"12",1978-01-08,1,9,1978,"control",11,44,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,44,"4389",NA,"0",NA
"13",1978-01-08,1,9,1978,"control",14,46,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,40,"4426",NA,"0",NA
"14",1978-01-08,1,9,1978,"control",4,52,"DS","F","Z",NA,NA,NA,NA,NA,NA,50,126,"4886",NA,"0",NA
"15",1978-01-08,1,9,1978,"control",11,52,"DS","F","Z",NA,NA,NA,NA,NA,NA,51,122,"4845",NA,"0",NA
"16",1978-01-08,1,9,1978,"control",14,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"17",1978-01-08,1,9,1978,"control",14,57,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,116,"4540",NA,"0",NA
"18",1978-01-08,1,9,1978,"control",17,62,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,38,"4879",NA,"0",NA
"19",1978-01-08,1,9,1978,"control",11,67,"DM","F",NA,NA,NA,"S",NA,NA,NA,37,39,"4882",NA,"0",NA
"20",1978-01-08,1,9,1978,"control",14,72,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,46,"4876",NA,"0",NA
"21",1978-01-08,1,9,1978,"control",17,74,"DS","M",NA,NA,"S",NA,NA,NA,NA,50,133,"4873",NA,"0",NA
"22",1978-01-08,1,9,1978,"control",11,77,"DS","M",NA,NA,"S",NA,NA,NA,NA,53,136,"4388",NA,"0",NA
"23",1978-01-08,1,10,1978,"exclosure",21,24,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"24",1978-01-08,1,10,1978,"exclosure",21,45,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"25",1978-02-18,2,18,1978,"exclosure",3,12,"OT","M",NA,NA,NA,NA,NA,NA,NA,NA,24,"4639",NA,"0",NA
"26",1978-02-18,2,18,1978,"exclosure",3,54,"OT","F","Z",NA,NA,NA,NA,NA,NA,15,23,"0",NA,"0",NA
"27",1978-02-18,2,19,1978,"control",17,16,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,42,"4881",NA,"0",NA
"28",1978-02-18,2,19,1978,"control",4,21,"DS","F",NA,NA,NA,NA,NA,"R",NA,49,NA,"4886",NA,"0",NA
"29",1978-02-18,2,19,1978,"control",17,21,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,39,"4872",NA,"0",NA
"30",1978-02-18,2,19,1978,"exclosure",21,24,"OT","F","Z",NA,NA,NA,NA,NA,NA,20,23,"4683",NA,"0",NA
"31",1978-02-18,2,19,1978,"control",4,26,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"32",1978-02-18,2,19,1978,"control",4,37,"DS","F",NA,NA,NA,NA,NA,"R",NA,49,124,"4889",NA,"0",NA
"33",1978-02-18,2,19,1978,"control",11,43,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,44,"4689",NA,"0",NA
"34",1978-02-18,2,19,1978,"control",11,44,"DM","M",NA,NA,"S",NA,NA,NA,NA,38,48,"4389",NA,"0",NA
"35",1978-02-18,2,19,1978,"control",14,45,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,NA,"4540",NA,"0",NA
"36",1978-02-18,2,19,1978,"control",14,46,"DM","F",NA,NA,NA,NA,NA,"R",NA,39,44,"4426",NA,"0",NA
"37",1978-02-18,2,19,1978,"control",4,54,"PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"38",1978-02-18,2,19,1978,"control",17,55,"DS","F",NA,NA,NA,NA,NA,"R",NA,46,137,"4887",NA,"0",NA
"39",1978-02-18,2,19,1978,"exclosure",21,56,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"40",1978-02-18,2,19,1978,"control",4,61,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,39,"4641",NA,"0",NA
"41",1978-02-18,2,19,1978,"control",17,62,"OL","F","Z",NA,NA,NA,NA,NA,NA,20,35,"4686",NA,"0",NA
"42",1978-02-18,2,19,1978,"control",17,63,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"43",1978-02-18,2,19,1978,"control",11,65,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"44",1978-02-18,2,19,1978,"control",14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,"0",NA,"0",NA
"45",1978-02-18,2,20,1978,"exclosure",15,24,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,49,"4893",NA,"0",NA
"46",1978-02-18,2,20,1978,"exclosure",15,42,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,50,"0",NA,"0",NA
"47",1978-02-18,2,20,1978,"exclosure",15,44,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,40,"0",NA,"0",NA
"48",1978-02-18,2,20,1978,"removal",16,NA,"DM","F",NA,NA,NA,"S",NA,NA,NA,37,46,"0",NA,"0",NA
"49",1978-02-18,2,20,1978,"removal",16,NA,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,48,"0",NA,"0",NA
"50",1978-03-11,3,11,1978,"exclosure",3,23,NA,"M","Z",NA,NA,NA,NA,NA,NA,32,232,"4510",NA,"0",NA
"51",1978-03-11,3,11,1978,"exclosure",3,31,"OT","F","Z",NA,NA,NA,NA,NA,NA,21,22,"4518",NA,"0",NA
"52",1978-03-11,3,11,1978,"exclosure",3,73,"OT","M",NA,NA,"S",NA,NA,NA,NA,21,26,"4639",NA,"0",NA
"53",1978-03-11,3,11,1978,"exclosure",3,75,"PF","M",NA,NA,"S",NA,NA,NA,NA,15,8,"110",NA,"0",NA
"54",1978-03-11,3,12,1978,"control",4,16,"DS","M",NA,NA,"S",NA,NA,NA,NA,49,131,"4864",NA,"4513",NA
"55",1978-03-11,3,12,1978,"control",17,21,"DM","M","Z",NA,NA,NA,NA,NA,NA,NA,NA,"4872",NA,"0",NA
"56",1978-03-11,3,12,1978,"control",14,24,"DS","F",NA,NA,NA,"P",NA,NA,NA,NA,NA,"4540",NA,"4677",NA
"57",1978-03-11,3,12,1978,"exclosure",21,24,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"58",1978-03-11,3,12,1978,"exclosure",21,31,"PF","F","Z",NA,NA,NA,NA,NA,NA,NA,NA,"-1",NA,"0",NA
"59",1978-03-11,3,12,1978,"control",4,32,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,43,"4641",NA,"0",NA
"60",1978-03-11,3,12,1978,"control",17,32,"DS","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4880",NA,"0",NA
"61",1978-03-11,3,12,1978,"control",4,33,"PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8100",NA,"0",NA
"62",1978-03-11,3,12,1978,"control",4,42,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,141,"4886",NA,"0",NA
"63",1978-03-11,3,12,1978,"control",11,43,"DS","M",NA,NA,"S",NA,NA,NA,NA,53,138,"4388",NA,"4680",NA
"64",1978-03-11,3,12,1978,"control",11,44,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,43,"4689",NA,"0",NA
"65",1978-03-11,3,12,1978,"control",4,45,"DS","F",NA,NA,NA,"P",NA,"E",NA,50,124,"4889",NA,"4514",NA
"66",1978-03-11,3,12,1978,"control",14,45,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"67",1978-03-11,3,12,1978,"exclosure",21,45,"OT","M",NA,NA,"S",NA,NA,NA,NA,NA,NA,"4676",NA,"0",NA
"68",1978-03-11,3,12,1978,"control",11,46,"DM","F",NA,NA,NA,NA,NA,NA,NA,37,43,"4882",NA,"4681",NA
"69",1978-03-11,3,12,1978,"control",17,47,"RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
"70",1978-03-11,3,12,1978,"control",11,54,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,46,"4382",NA,"0",NA
"71",1978-03-11,3,12,1978,"control",14,54,"DM","F",NA,NA,NA,NA,"P",NA,NA,NA,NA,"4426",NA,"4675",NA
"72",1978-03-11,3,12,1978,"control",17,57,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1",NA,"0",NA
"73",1978-03-11,3,12,1978,"control",17,62,"DS","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4645",NA,"0",NA
"74",1978-03-11,3,12,1978,"control",11,73,"DS","F","Z",NA,NA,NA,NA,NA,NA,NA,NA,"4845",NA,"4678",NA
"75",1978-03-11,3,12,1978,"control",17,73,"OT","F",NA,"J",NA,NA,NA,NA,NA,NA,NA,"4646",NA,"0",NA
"76",1978-03-11,3,12,1978,"control",17,74,"DM","F","Z",NA,NA,NA,NA,NA,NA,NA,NA,"4879",NA,"4648",NA
"77",1978-03-11,3,13,1978,"exclosure",15,21,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,48,"0",NA,"0",NA
"78",1978-03-11,3,13,1978,"exclosure",15,26,"DM","F",NA,NA,NA,NA,"P",NA,NA,NA,44,"0",NA,"0",NA
"79",1978-03-11,3,13,1978,"exclosure",15,27,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,45,"0",NA,"0",NA
"80",1978-03-11,3,13,1978,"removal",16,61,"OL","F","Z",NA,NA,NA,NA,NA,NA,NA,30,"4686",NA,"0",NA
"81",1978-03-11,3,13,1978,"exclosure",15,63,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,48,"4378",NA,"0",NA
"82",1978-03-11,3,13,1978,"exclosure",15,NA,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,46,"0",NA,"0",NA
"83",1978-04-08,4,8,1978,"exclosure",3,41,NA,"F",NA,NA,NA,NA,NA,NA,"L",32,NA,"4661",NA,"0",NA
"84",1978-04-08,4,8,1978,"exclosure",21,41,"OT","F","Z",NA,NA,NA,NA,NA,NA,20,NA,"4683",NA,"0",NA
"85",1978-04-08,4,9,1978,"control",11,15,"DS","M",NA,NA,"S",NA,NA,NA,NA,52,131,"4388",NA,"4680",NA
"86",1978-04-08,4,9,1978,"control",17,21,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,42,"4872",NA,"0",NA
"87",1978-04-08,4,9,1978,"control",17,37,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,42,"4881",NA,"0",NA
"88",1978-04-08,4,9,1978,"control",4,43,"DS","F","Z",NA,NA,NA,NA,NA,NA,49,121,"4886",NA,"0",NA
"89",1978-04-08,4,9,1978,"control",11,44,"DM","M",NA,NA,"S",NA,NA,NA,NA,35,44,"4689",NA,"0",NA
"90",1978-04-08,4,9,1978,"control",17,46,"DO","F",NA,NA,NA,NA,"P",NA,NA,33,55,"4423",NA,"0",NA
"91",1978-04-08,4,9,1978,"control",4,47,"DS","M",NA,NA,"S",NA,NA,NA,NA,50,133,"4864",NA,"0",NA
"92",1978-04-08,4,9,1978,"control",17,51,"DS","M",NA,NA,"S",NA,NA,NA,NA,50,142,"4645",NA,"0",NA
"93",1978-04-08,4,9,1978,"control",11,53,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,46,"4882",NA,"0",NA
"94",1978-04-08,4,9,1978,"control",14,54,"DS","F",NA,NA,NA,NA,"P",NA,NA,46,142,"4540",NA,"4677",NA
"95",1978-04-08,4,9,1978,"control",4,61,"DS","F",NA,NA,NA,"S",NA,NA,NA,48,84,"4465",NA,"4438",NA
"96",1978-04-08,4,9,1978,"control",4,62,"DM","M","Z",NA,NA,NA,NA,NA,NA,34,42,"4641",NA,"0",NA
"97",1978-04-08,4,9,1978,"control",17,63,"DS","F",NA,NA,NA,NA,"P",NA,NA,47,142,"4880",NA,"0",NA
"98",1978-04-08,4,9,1978,"control",4,66,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,118,"4889",NA,"0",NA
"99",1978-04-08,4,9,1978,"control",17,71,"DM","F",NA,NA,NA,NA,NA,"E",NA,35,43,"4879",NA,"0",NA
